WeekID	QuestionID	Type	CorrectAnswer	Tolerance	Points	Hint	Solution	Title	Choices	Grade
week-01	q1	numeric	10	0	1	Use $AB=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}$ with $(x_1,y_1)=(-4,6)$ and $(x_2,y_2)=(2,-2)$.	$AB=\sqrt{(2-(-4))^2+(-2-6)^2}=\sqrt{6^2+(-8)^2}=\sqrt{36+64}=\sqrt{100}=10$.	$A$ is the point $(-4,\,6)$ and $B$ is the point $(2,\,-2)$. Find the length $AB$.		10
week-01	q2	text	(-2,-3)|-2,-3		1	The midpoint is $\left(\dfrac{x_1+x_2}{2},\,\dfrac{y_1+y_2}{2}\right)$ - average the $x$-values, then average the $y$-values.	Midpoint $=\left(\dfrac{-7+3}{2},\,\dfrac{4+(-10)}{2}\right)=\left(\dfrac{-4}{2},\,\dfrac{-6}{2}\right)=(-2,\,-3)$.	Find the midpoint of the line segment joining $P(-7,\,4)$ and $Q(3,\,-10)$. Give your answer as coordinates in the form (a,b).		10
week-01	q3	numeric	17	0	1	Find $PQ^2$, $QR^2$ and $PR^2$. Two of them are equal, and the two smaller ones add to the largest - that tells you where the right angle is.	$PQ^2=(-3)^2+(-5)^2=34$, $QR^2=5^2+(-3)^2=34$ and $PR^2=2^2+(-8)^2=68$. Since $34+34=68$, the right angle is at $Q$ and $PQ=QR=\sqrt{34}$. Area $=\tfrac12\times\sqrt{34}\times\sqrt{34}=\tfrac12\times34=17$.	Triangle $PQR$ has vertices $P(1,\,6)$, $Q(-2,\,1)$ and $R(3,\,-2)$. The triangle is right-angled and isosceles. Find its area.		10
week-01	q4	numeric	3	0	1	Square both sides of the distance formula: $(b+3)^2+(2b+2)^2=100$. Expand, collect into a quadratic in $b$, then factorise.	$(b+3)^2+(2b+2)^2=100\Rightarrow b^2+6b+9+4b^2+8b+4=100\Rightarrow 5b^2+14b-87=0\Rightarrow(b-3)(5b+29)=0$. So $b=3$ or $b=-\tfrac{29}{5}$, and the positive value is $b=3$.	The distance between $P(-3,\,-2)$ and $Q(b,\,2b)$ is $10$. Find the positive value of $b$.		10
week-01	q5	numeric	4	0	1	Equidistant means $PA^2=PB^2$. Write both out with the distance formula - the $k^2$ terms will cancel, leaving a linear equation.	$PA^2=(k-8)^2+(2k-11)^2=5k^2-60k+185$ and $PB^2=(k-1)^2+(2k-12)^2=5k^2-50k+145$. Setting them equal gives $-60k+185=-50k+145$, so $-10k=-40$ and $k=4$.	The point $P(k,\,2k)$ is equidistant from $A(8,\,11)$ and $B(1,\,12)$. Find the value of $k$.		10
week-01	q6	text	(2,1)|2,1		1	The diagonals of a parallelogram bisect each other, so the midpoint of $BD$ is the same as the midpoint of $AC$.	Midpoint of $AC=\left(\dfrac{-5+6}{2},\,\dfrac{-1+(-2)}{2}\right)=\left(\dfrac12,\,-\dfrac32\right)$. Writing $D=(m,\,n)$: $\dfrac{-1+m}{2}=\dfrac12$ gives $m=2$, and $\dfrac{-4+n}{2}=-\dfrac32$ gives $n=1$. So $D=(2,\,1)$.	Three vertices of a parallelogram $ABCD$ are $A(-5,\,-1)$, $B(-1,\,-4)$ and $C(6,\,-2)$. Find the coordinates of $D$. Give your answer in the form (a,b).		10
week-01	q7	text	-1/6		1	Gradient $=\dfrac{y_2-y_1}{x_2-x_1}$. Take care with the signs when you subtract a negative $x$-coordinate.	Gradient $=\dfrac{2-3}{5-(-1)}=\dfrac{-1}{6}=-\dfrac16$.	Find the gradient of the line joining $A(-1,\,3)$ and $B(5,\,2)$. Give your answer as a fraction in the form a/b.		10
week-01	q8	mc	$-\dfrac43$		1	For perpendicular lines $m_1\times m_2=-1$, so the perpendicular gradient is the negative reciprocal.	$m_2=-\dfrac{1}{m_1}=-\dfrac{1}{3/4}=-\dfrac43$. Check: $\dfrac34\times\left(-\dfrac43\right)=-1$.	A line has gradient $\dfrac34$. What is the gradient of any line perpendicular to it?	$-\dfrac43$|$\dfrac43$|$-\dfrac34$|$\dfrac34$	10
week-01	q9	mc	No - the gradient of $AB$ is $\dfrac15$ but the gradient of $BC$ is $\dfrac16$		1	Three points are collinear exactly when the gradient of $AB$ equals the gradient of $BC$. Work out both.	Gradient of $AB=\dfrac{6-4}{4-(-6)}=\dfrac{2}{10}=\dfrac15$, and gradient of $BC=\dfrac{7-6}{10-4}=\dfrac16$. The gradients are different, so the points are not collinear.	Three points have coordinates $A(-6,\,4)$, $B(4,\,6)$ and $C(10,\,7)$. Are $A$, $B$ and $C$ collinear?	No - the gradient of $AB$ is $\dfrac15$ but the gradient of $BC$ is $\dfrac16$|Yes - both gradients are $\dfrac15$|Yes - the three $x$-coordinates increase by a constant amount|No - $AB$ and $BC$ have different lengths	10
week-01	q10	numeric	1	0	1	Find the equation of line $AB$ first, then substitute $x=k$ and $y=2k$ into it.	Gradient of $AB=\dfrac{8-4}{19-7}=\dfrac13$, so $y-4=\dfrac13(x-7)$, which rearranges to $x=3y-5$. Substituting $C(k,\,2k)$ gives $k=3(2k)-5\Rightarrow k=6k-5\Rightarrow 5k=5\Rightarrow k=1$.	Three points have coordinates $A(7,\,4)$, $B(19,\,8)$ and $C(k,\,2k)$. Find the value of $k$ for which $C$ lies on the line through $A$ and $B$.		10
week-01	q11	numeric	5	0	1	Angle $CAB=90^\circ$ means $AC$ is perpendicular to $AB$, so (gradient of $AC$) $\times$ (gradient of $AB$) $=-1$.	Gradient of $AB=\dfrac13$, so the gradient of $AC$ must be $-3$. Then $\dfrac{2k-4}{k-7}=-3\Rightarrow 2k-4=-3k+21\Rightarrow 5k=25\Rightarrow k=5$.	Three points have coordinates $A(7,\,4)$, $B(19,\,8)$ and $C(k,\,2k)$. Find the value of $k$ for which angle $CAB$ is $90^\circ$.		10
week-01	q12	numeric	-26	0	1	The right angle is at $B$, so $BC$ is perpendicular to $BA$. Find the gradient of $BA$ first, then write $C=(0,\,c)$.	Gradient of $BA=\dfrac{8-6}{0-8}=-\dfrac14$, so the gradient of $BC$ is $4$. With $C=(0,\,c)$: $\dfrac{c-6}{0-8}=4\Rightarrow c-6=-32\Rightarrow c=-26$.	$A$ is the point $(0,\,8)$ and $B$ is the point $(8,\,6)$. The point $C$ lies on the $y$-axis so that angle $ABC$ is $90^\circ$. Find the $y$-coordinate of $C$.		10
week-01	q13	text	y=2x+1|2x+1		1	Use $y-y_1=m(x-x_1)$ with $m=2$, $x_1=4$ and $y_1=9$, then rearrange to make $y$ the subject.	$y-9=2(x-4)\Rightarrow y-9=2x-8\Rightarrow y=2x+1$.	Find the equation of the line with gradient $2$ that passes through the point $(4,\,9)$. Give your answer in the form y=mx+c.		10
week-01	q14	text	y=2x+5|2x+5		1	Find the gradient from the two points first, then use $y-y_1=m(x-x_1)$ with either of them.	Gradient $=\dfrac{11-1}{3-(-2)}=\dfrac{10}{5}=2$. Then $y-1=2(x+2)\Rightarrow y-1=2x+4\Rightarrow y=2x+5$.	Find the equation of the line passing through $(-2,\,1)$ and $(3,\,11)$. Give your answer in the form y=mx+c.		10
week-01	q15	text	y=-2x+9|-2x+9		1	Use $y-y_1=m(x-x_1)$ with $m=-2$, $x_1=4$ and $y_1=1$. Take care with the signs when expanding.	$y-1=-2(x-4)\Rightarrow y-1=-2x+8\Rightarrow y=-2x+9$, which can also be written as $2x+y=9$.	Find the equation of the line with gradient $-2$ that passes through the point $(4,\,1)$. Give your answer in the form y=mx+c.		10
week-01	q16	numeric	4	0	1	The perpendicular bisector is perpendicular to $AB$, so find the gradient of $AB$ and take its negative reciprocal.	Gradient of $AB=\dfrac{-2-1}{7-(-5)}=\dfrac{-3}{12}=-\dfrac14$. The perpendicular gradient is $-\dfrac{1}{-1/4}=4$.	Find the gradient of the perpendicular bisector of the line segment joining $A(-5,\,1)$ and $B(7,\,-2)$.		10
week-01	q17	numeric	15	0	1	You need two things: the midpoint of $AB$, which the bisector passes through, and the negative reciprocal of the gradient of $AB$.	Midpoint of $AB=(3,\,6)$ and gradient of $AB=\dfrac{10-2}{5-1}=2$, so the perpendicular gradient is $-\dfrac12$. Then $y-6=-\dfrac12(x-3)\Rightarrow 2y-12=-x+3\Rightarrow x+2y=15$, so $c=15$.	The perpendicular bisector of the line segment joining $A(1,\,2)$ and $B(5,\,10)$ can be written as $x+2y=c$. Find the value of $c$.		10
week-01	q18	mc	$y=-\dfrac23x+5$		1	Rearrange $2x+3y=12$ into the form $y=mx+c$ so you can read off its gradient. Parallel lines have equal gradients.	$2x+3y=12\Rightarrow 3y=-2x+12\Rightarrow y=-\dfrac23x+4$, so the gradient is $-\dfrac23$. The line $y=-\dfrac23x+5$ has the same gradient but a different $y$-intercept, so it is parallel.	Which of these lines is parallel to $2x+3y=12$?	$y=-\dfrac23x+5$|$y=\dfrac23x+4$|$y=\dfrac32x-12$|$y=-\dfrac32x+4$	10
